,title,release_year,age_rating,runtime,rating,metascore,director,votes,gross
0,Se7en,1995,R,127,8.6,65,David Fincher,1446944,100125643
1,The Silence of the Lambs,1991,R,118,8.6,85,Jonathan Demme,1271673,130742922
2,Shutter Island,2010,R,138,8.2,63,Martin Scorsese,1131492,128012934
3,The Sixth Sense,1999,PG-13,107,8.1,64,M. Night Shyamalan,912231,293506292
4,The Shining,1980,R,146,8.4,66,Stanley Kubrick,899321,44017374
5,Jurassic Park,1993,PG-13,127,8.1,68,Steven Spielberg,868386,402453882
6,The Terminator,1984,R,107,8.0,84,James Cameron,800229,38400000
7,Alien,1979,R,117,8.4,89,Ridley Scott,788645,78900000
8,Requiem for a Dream,2000,R,102,8.3,68,Darren Aronofsky,767672,3635482
9,A Clockwork Orange,1971,R,136,8.3,77,Stanley Kubrick,758657,6207725
10,Donnie Darko,2001,R,113,8.0,88,Richard Kelly,740577,1480006
11,Black Swan,2010,R,108,8.0,79,Darren Aronofsky,700181,106954678
12,I Am Legend,2007,PG-13,101,7.2,65,Francis Lawrence,687507,256386216
13,Aliens,1986,R,137,8.3,84,James Cameron,653276,85160248
14,Pan's Labyrinth,2006,R,118,8.2,98,Guillermo del Toro,619118,37634615
15,Psycho,1960,R,109,8.5,97,Alfred Hitchcock,604875,32000000
16,World War Z,2013,PG-13,116,7.0,63,Marc Forster,602197,202359711
17,Jaws,1975,PG,124,8.0,87,Steven Spielberg,543685,260000000
18,Zombieland,2009,R,88,7.6,73,Ruben Fleischer,520339,75590286
19,Oldboy,2003,R,120,8.4,77,Chan-wook Park,516076,707481
20,Shaun of the Dead,2004,R,99,7.9,76,Edgar Wright,512615,13542874
21,Get Out,2017,R,104,7.7,85,Jordan Peele,493612,176040665
22,American Psycho,2000,R,101,7.6,64,Mary Harron,491031,15070285
23,Zodiac,2007,R,157,7.7,78,David Fincher,466891,33080084
24,It,2017,R,135,7.3,69,Andy Muschietti,460094,327481748
25,Rear Window,1954,PG,112,8.4,100,Alfred Hitchcock,444552,36764313
26,The Conjuring,2013,R,112,7.5,68,James Wan,442595,137400141
27,War of the Worlds,2005,PG-13,116,6.5,73,Steven Spielberg,416251,234280354
28,Saw,2004,R,103,7.6,46,James Wan,379284,56000369
29,28 Days Later...,2002,R,113,7.6,73,Danny Boyle,377114,45064915
30,The Cabin in the Woods,2011,R,95,7.0,72,Drew Goddard,377025,42073277
31,Cloverfield,2008,PG-13,85,7.0,64,Matt Reeves,373261,80048433
32,Predator,1987,R,107,7.8,45,John McTiernan,371660,59735548
33,The Thing,1982,R,109,8.1,57,John Carpenter,371644,13782838
34,The Exorcist,1973,R,122,8.0,81,William Friedkin,362606,232906145
35,Ghostbusters,1984,PG,105,7.8,71,Ivan Reitman,355656,238632124
36,Sweeney Todd: The Demon Barber of Fleet Street,2007,R,116,7.3,83,Tim Burton,344482,52898073
37,The Others,2001,PG-13,104,7.6,74,Alejandro Amenábar,337880,96522687
38,Signs,2002,PG-13,106,6.7,59,M. Night Shyamalan,337099,227966634
39,Sleepy Hollow,1999,R,105,7.3,65,Tim Burton,332242,101071502
40,The Devil's Advocate,1997,R,144,7.5,60,Taylor Hackford,332062,60984028
41,Mulholland Dr.,2001,R,147,7.9,85,David Lynch,322444,7220243
42,The Ring,2002,PG-13,115,7.1,57,Gore Verbinski,321493,129128133
43,Constantine,2005,R,121,7.0,50,Francis Lawrence,307250,75976178
44,The Nightmare Before Christmas,1993,PG,76,8.0,82,Henry Selick,300406,75082668
45,Interview with the Vampire: The Vampire Chronicles,1994,R,123,7.5,59,Neil Jordan,295072,105264608
46,Scream,1996,R,111,7.3,65,Wes Craven,287948,103046663
47,From Dusk Till Dawn,1996,R,108,7.2,48,Robert Rodriguez,287250,25753840
48,The Mist,2007,R,126,7.1,58,Frank Darabont,281362,25593755
49,Insidious,2010,PG-13,103,6.8,52,James Wan,278934,54009150
50,Alien³,1992,R,114,6.5,59,David Fincher,278165,55473600
51,Death Proof,2007,TV-MA,127,7.0,-1,Quentin Tarantino,268765,-1
52,Beetlejuice,1988,PG,92,7.5,70,Tim Burton,264129,73707461
53,28 Weeks Later,2007,R,100,7.0,78,Juan Carlos Fresnadillo,258753,28638916
54,1408,2007,PG-13,104,6.8,64,Mikael Håfström,255589,71985628
55,Hannibal,2001,R,131,6.8,57,Ridley Scott,254860,165092268
56,Underworld,2003,R,121,7.0,42,Len Wiseman,253004,51970690
57,Resident Evil,2002,R,100,6.7,33,Paul W.S. Anderson,247694,40119709
58,Blade,1998,R,120,7.1,45,Stephen Norrington,245321,70087718
59,The Village,2004,PG-13,108,6.5,44,M. Night Shyamalan,242874,114197520
60,Dawn of the Dead,2004,R,101,7.3,59,Zack Snyder,234088,59020957
61,Halloween,1978,R,91,7.7,87,John Carpenter,233279,47000000
62,Saw II,2005,R,93,6.6,40,Darren Lynn Bousman,232976,87039965
63,The Blair Witch Project,1999,R,81,6.5,81,Daniel Myrick,232735,140539099
64,Scary Movie,2000,R,88,6.2,48,Keenen Ivory Wayans,232404,157019771
65,Final Destination,2000,R,98,6.7,36,James Wong,229909,53331147
66,Identity,2003,R,90,7.3,64,James Mangold,227485,52159536
67,Pitch Black,2000,R,109,7.1,49,David Twohy,225461,39240659
68,Sinister,2012,R,110,6.8,53,Scott Derrickson,222109,48086903
69,Paranormal Activity,2007,R,86,6.3,68,Oren Peli,220846,107918810
70,Warm Bodies,2013,PG-13,98,6.8,60,Jonathan Levine,219293,66380662
71,Silent Hill,2006,R,125,6.5,31,Christophe Gans,213974,46982632
72,Cube,1997,R,90,7.2,61,Vincenzo Natali,212648,501818
73,It Follows,2014,R,100,6.8,83,David Robert Mitchell,210765,14673301
74,A Nightmare on Elm Street,1984,TV-14,91,7.5,76,Wes Craven,207294,25504513
75,Let the Right One In,2008,R,114,7.9,82,Tomas Alfredson,205696,2122065
76,The VVitch: A New-England Folktale,2015,R,92,6.9,83,Robert Eggers,203453,25138292
77,The Descent,2005,R,99,7.2,71,Neil Marshall,201675,26024456
78,Planet Terror,2007,R,105,7.1,-1,Robert Rodriguez,200123,-1
79,Gremlins,1984,PG,106,7.3,70,Joe Dante,200120,148170000
80,Blade II,2002,R,117,6.7,52,Guillermo del Toro,200045,82348319
81,Coraline,2009,PG,100,7.7,80,Henry Selick,197914,75286229
82,The Babadook,2014,Not Rated,94,6.8,86,Jennifer Kent,197249,924279
83,Rosemary's Baby,1968,Approved,137,8.0,96,Roman Polanski,193923,-1
84,Bram Stoker's Dracula,1992,R,128,7.4,57,Francis Ford Coppola,193058,82522790
85,Orphan,2009,R,123,7.0,42,Jaume Collet-Serra,191250,41596251
86,Drag Me to Hell,2009,PG-13,99,6.5,83,Sam Raimi,188108,42100625
87,The Evil Dead,1981,NC-17,85,7.5,71,Sam Raimi,187476,2400000
88,Misery,1990,R,107,7.8,75,Rob Reiner,184933,61276872
89,Blue Velvet,1986,R,120,7.7,76,David Lynch,181512,8551228
90,Saw III,2006,R,108,6.2,48,Darren Lynn Bousman,178461,80238724
91,Grindhouse,2007,R,191,7.5,77,Robert Rodriguez,178033,25031037
92,Cape Fear,1991,R,128,7.3,73,Martin Scorsese,174402,79100000
93,The Woman in Black,2012,PG-13,95,6.4,62,James Watkins,174306,54333290
94,The Birds,1963,PG-13,119,7.7,90,Alfred Hitchcock,171872,11403529
95,Hostel,2005,R,94,5.9,55,Eli Roth,169783,47326473
96,Battle Royale,2000,Not Rated,114,7.6,81,Kinji Fukasaku,169176,-1
97,Mama,2013,PG-13,100,6.2,57,Andy Muschietti,168920,71628180
98,Carrie,1976,R,98,7.4,85,Brian De Palma,168489,33800000
99,The Ninth Gate,1999,R,133,6.7,44,Roman Polanski,167729,18661336
100,The Crow,1994,R,102,7.6,71,Alex Proyas,166607,50693162
101,REC,2007,R,78,7.4,69,Jaume Balagueró,165697,-1
102,Tucker and Dale vs Evil,2010,R,89,7.5,65,Eli Craig,165409,223838
103,30 Days of Night,2007,R,113,6.6,53,David Slade,165051,39568996
104,Army of Darkness,1992,R,81,7.5,59,Sam Raimi,162858,11502976
105,The Fly,1986,R,96,7.6,79,David Cronenberg,159887,40456565
106,Event Horizon,1997,R,96,6.7,35,Paul W.S. Anderson,159775,26673242
107,The Hills Have Eyes,2006,R,107,6.4,52,Alexandre Aja,158703,41778863
108,Scream 2,1997,R,120,6.2,63,Wes Craven,157842,101363301
109,What We Do in the Shadows,2014,R,86,7.7,76,Jemaine Clement,157694,3333000
110,Evil Dead,2013,R,91,6.5,57,Fede Alvarez,156677,54239856
111,Insidious: Chapter 2,2013,PG-13,106,6.6,40,James Wan,155462,83586447
112,Hard Candy,2005,R,104,7.1,58,David Slade,153746,1007962
113,Final Destination 2,2003,R,90,6.2,38,David R. Ellis,152395,46961214
114,Evil Dead II,1987,R,84,7.8,72,Sam Raimi,148439,5923044
115,From Hell,2001,R,122,6.8,54,Albert Hughes,146949,31602566
116,The Orphanage,2007,R,105,7.4,74,J.A. Bayona,146941,7161284
117,Poltergeist,1982,PG,114,7.3,79,Tobe Hooper,144618,76606280
118,Pandorum,2009,R,108,6.7,28,Christian Alvart,143652,10330853
119,M,1931,Passed,99,8.3,-1,Fritz Lang,143639,28877
120,Young Frankenstein,1974,PG,106,8.0,80,Mel Brooks,143557,86300000
121,The Skin I Live In,2011,R,120,7.6,70,Pedro Almodóvar,139086,3185812
122,The Grudge,2004,PG-13,91,5.9,49,Takashi Shimizu,138835,110359362
123,The Texas Chain Saw Massacre,1974,R,83,7.5,78,Tobe Hooper,137650,30859000
124,Devil,2010,PG-13,80,6.2,44,John Erick Dowdle,133896,33583175
125,I Know What You Did Last Summer,1997,R,101,5.7,52,Jim Gillespie,133691,72586134
126,The Rocky Horror Picture Show,1975,R,100,7.4,65,Jim Sharman,133236,139876417
127,Lost Highway,1997,R,134,7.6,52,David Lynch,131270,3796699
128,Final Destination 3,2006,R,93,5.8,41,James Wong,130923,54098051
129,The Texas Chainsaw Massacre,2003,R,98,6.2,38,Marcus Nispel,130245,80571655
130,Under the Skin,2013,R,108,6.3,80,Jonathan Glazer,129984,2605039
131,Scream 4,2011,R,111,6.1,52,Wes Craven,128152,38180928
132,The Lost Boys,1987,R,97,7.3,63,Joel Schumacher,124235,32222567
133,Scream 3,2000,R,116,5.6,56,Wes Craven,124063,89138076
134,The Thing,2011,R,103,6.2,49,Matthijs van Heijningen Jr.,122344,16928670
135,Daybreakers,2009,R,98,6.4,57,Michael Spierig,122213,30101577
136,Tremors,1990,PG-13,96,7.1,65,Ron Underwood,120563,16667084
137,Irréversible,2002,Not Rated,97,7.4,51,Gaspar Noé,120372,753501
138,Friday the 13th,1980,R,95,6.5,22,Sean S. Cunningham,120189,39754601
139,The Exorcism of Emily Rose,2005,PG-13,119,6.7,46,Scott Derrickson,119867,75072454
140,The Strangers,2008,R,86,6.2,47,Bryan Bertino,118096,52597610
141,What Lies Beneath,2000,PG-13,130,6.6,51,Robert Zemeckis,117930,155464351
142,Oculus,2013,R,104,6.5,61,Mike Flanagan,117476,27695246
143,Antichrist,2009,Not Rated,108,6.6,49,Lars von Trier,116706,397070
144,Night of the Living Dead,1968,Not Rated,96,7.9,89,George A. Romero,116642,89029
145,Jennifer's Body,2009,R,102,5.2,47,Karyn Kusama,116237,16204793
146,House of Wax,2005,R,113,5.3,41,Jaume Collet-Serra,115695,32064800
147,Let Me In,2010,R,116,7.1,79,Matt Reeves,113676,12134420
148,The Crazies,2010,R,101,6.5,56,Breck Eisner,111628,39123589
149,Dawn of the Dead,1978,Unrated,127,7.9,71,George A. Romero,111565,5100000
150,I Saw the Devil,2010,Not Rated,144,7.8,67,Jee-woon Kim,111438,128392
151,Jeepers Creepers,2001,R,90,6.2,49,Victor Salva,111328,37904175
152,The Faculty,1998,R,104,6.5,61,Robert Rodriguez,111044,40064955
153,Freddy vs. Jason,2003,R,97,5.7,37,Ronny Yu,110955,82622655
154,They Live,1988,R,94,7.3,55,John Carpenter,110442,13008928
155,Wrong Turn,2003,R,84,6.1,32,Rob Schmidt,109261,15417771
156,Halloween,2007,R,109,6.1,47,Rob Zombie,109244,58272029
157,The Host,2006,R,120,7.1,85,Bong Joon Ho,107594,2201923
158,The Omen,1976,R,111,7.5,62,Richard Donner,107410,4273886
159,Final Destination 5,2011,R,92,5.8,50,Steven Quale,106818,42587643
160,The Skeleton Key,2005,PG-13,104,6.5,47,Iain Softley,106340,47806295
161,Hellraiser,1987,R,94,7.0,57,Clive Barker,104260,14564027
162,Hocus Pocus,1993,PG,96,6.9,43,Kenny Ortega,103648,39514713
163,Triangle,2009,R,99,6.9,-1,Christopher Smith,103219,-1
164,Eraserhead,1977,Not Rated,89,7.4,87,David Lynch,103194,7000000
165,Attack the Block,2011,R,88,6.6,75,Joe Cornish,99817,1024175
166,Fright Night,2011,R,106,6.3,64,Craig Gillespie,99612,18298649
167,Jacob's Ladder,1990,R,113,7.5,62,Adrian Lyne,98860,26118851
168,Deliverance,1972,R,109,7.7,80,John Boorman,98810,7056013
169,Paranormal Activity 2,2010,R,91,5.6,53,Tod Williams,98722,84752907
170,Frankenweenie,2012,PG,87,6.9,74,Tim Burton,98507,35291068
171,Friday the 13th,2009,R,97,5.5,34,Marcus Nispel,98136,65002019
172,Anaconda,1997,PG-13,89,4.8,37,Luis Llosa,96896,65885767
173,The Cell,2000,R,107,6.4,40,Tarsem Singh,95474,61334059
174,Vacancy,2007,R,85,6.2,54,Nimród Antal,94426,19363565
175,Pet Sematary,1989,R,103,6.6,38,Mary Lambert,94422,57469467
176,Ghost Ship,2002,R,91,5.5,28,Steve Beck,93986,30113491
177,eXistenZ,1999,R,97,6.8,68,David Cronenberg,93901,2840417
178,Gremlins 2: The New Batch,1990,PG-13,106,6.4,-1,Joe Dante,93581,41482207
179,The Devil's Rejects,2005,R,107,6.8,53,Rob Zombie,93377,17044981
180,An American Werewolf in London,1981,R,97,7.5,55,John Landis,92972,30565292
181,Land of the Dead,2005,R,93,6.2,71,George A. Romero,91801,20700082
182,Braindead,1992,R,104,7.5,54,Peter Jackson,91415,242623
183,Only Lovers Left Alive,2013,R,123,7.3,79,Jim Jarmusch,91045,1879534
184,Funny Games,2007,R,111,6.6,44,Michael Haneke,90763,1294640
185,Paranormal Activity 3,2011,R,83,5.8,59,Henry Joost,90363,104007828
186,Nosferatu,1922,Not Rated,94,7.9,-1,F.W. Murnau,88867,-1
187,You're Next,2011,R,95,6.6,66,Adam Wingard,88351,18474268
188,Child's Play,1988,R,87,6.6,58,Tom Holland,87765,33244684
189,Twin Peaks: Fire Walk with Me,1992,R,134,7.3,45,David Lynch,86817,4160851
190,Piranha 3D,2010,R,88,5.4,53,Alexandre Aja,85918,25003155
191,Dead Silence,2007,R,89,6.2,34,James Wan,85813,16809076
192,The Last House on the Left,2009,R,110,6.5,42,Dennis Iliadis,85804,32752215
193,Hostel: Part II,2007,R,94,5.5,46,Eli Roth,85489,17609452
194,Videodrome,1983,R,87,7.2,60,David Cronenberg,83987,2120439
195,Martyrs,2008,R,99,7.1,-1,Pascal Laugier,83511,-1
196,The Frighteners,1996,R,110,7.1,52,Peter Jackson,82115,16759216
197,The Night of the Hunter,1955,Not Rated,92,8.0,99,Charles Laughton,82056,654000
198,Trick 'r Treat,2007,R,82,6.8,-1,Michael Dougherty,81180,-1
199,Angel Heart,1987,X,113,7.3,61,Alan Parker,80587,17185632
200,Suspiria,1977,R,92,7.4,79,Dario Argento,80525,-1
201,Flatliners,1990,R,115,6.6,55,Joel Schumacher,80001,61490000
202,Thir13en Ghosts,2001,R,91,5.6,30,Steve Beck,79804,41867960
203,The Craft,1996,R,101,6.4,55,Andrew Fleming,79567,24881000
204,King Kong,1933,Passed,100,7.9,90,Merian C. Cooper,79082,10000000
205,House of 1000 Corpses,2003,R,89,6.1,31,Rob Zombie,78290,12634962
206,"As Above, So Below",2014,R,93,6.2,38,John Erick Dowdle,77460,21197315
207,Frailty,2001,R,100,7.2,64,Bill Paxton,77250,13103828
208,Eden Lake,2008,R,91,6.8,65,James Watkins,76931,5824
209,Fatal Attraction,1987,R,119,6.9,67,Adrian Lyne,76732,156645693
210,The Uninvited,2009,PG-13,87,6.3,43,Charles Guard,76356,28573173
211,I Spit on Your Grave,2010,R,108,6.3,27,Steven R. Monroe,76348,93051
212,The Mothman Prophecies,2002,PG-13,119,6.4,52,Mark Pellington,76117,35746370
213,Stir of Echoes,1999,R,99,7.0,67,David Koepp,75454,21133087
214,Halloween II,1981,R,92,6.5,40,Rick Rosenthal,75386,25533818
215,Slither,2006,R,95,6.5,69,James Gunn,74624,7774730
216,Species,1995,R,108,5.8,49,Roger Donaldson,74353,60074103
217,Cabin Fever,2002,R,93,5.7,56,Eli Roth,74059,21158188
218,The Human Centipede (First Sequence),2009,R,92,4.4,33,Tom Six,73288,181467
219,Audition,1999,R,115,7.2,69,Takashi Miike,72954,-1
220,Christine,1983,R,110,6.7,57,John Carpenter,72629,21200000
221,A Nightmare on Elm Street 3: Dream Warriors,1987,R,96,6.6,49,Chuck Russell,71077,44793222
222,Candyman,1992,R,99,6.6,61,Bernard Rose,70741,25792310
223,The Ruins,2008,R,90,5.9,44,Carter Smith,70417,17432844
224,Quarantine,2008,R,89,5.9,53,John Erick Dowdle,70301,31691811
225,The Wicker Man,1973,R,88,7.5,87,Robin Hardy,70224,60891
226,Trollhunter,2010,PG-13,103,7.0,61,André Øvredal,68880,252652
227,[Rec]²,2009,R,85,6.5,52,Jaume Balagueró,68802,27766
228,Unfriended,2014,R,83,5.5,59,Levan Gabriadze,68794,32482090
229,The 'Burbs,1989,PG,102,6.9,45,Joe Dante,68519,36602000
230,Frozen,2010,R,93,6.1,43,Adam Green,68087,243390
231,Wolf Creek,2005,R,99,6.2,54,Greg McLean,67813,16188180
232,High Tension,2003,R,91,6.8,42,Alexandre Aja,67696,3681066
233,Halloween H20: 20 Years Later,1998,R,86,5.8,52,Steve Miner,66607,55041738
234,Manhunter,1986,R,120,7.2,75,Michael Mann,66085,8620929
235,Little Shop of Horrors,1986,PG-13,94,7.0,81,Frank Oz,66068,38747385
236,Frankenstein,1931,Passed,70,7.8,91,James Whale,65388,-1
237,Funny Games,1997,Not Rated,108,7.6,69,Michael Haneke,65137,-1
238,The Fog,1980,R,89,6.8,55,John Carpenter,64567,21378000
239,Joy Ride,2001,R,97,6.6,75,John Dahl,64199,21973182
240,Dead Snow,2009,Not Rated,91,6.3,61,Tommy Wirkola,64140,41709
241,Ringu,1998,Not Rated,96,7.2,-1,Hideo Nakata,63918,-1
242,Arachnophobia,1990,PG-13,109,6.4,67,Frank Marshall,63437,53208180
243,Day of the Dead,1985,Not Rated,96,7.2,60,George A. Romero,63335,5804262
244,The Awakening,2011,R,102,6.5,53,Nick Murphy,63326,-1
245,Duel,1971,PG,90,7.6,-1,Steven Spielberg,63035,-1
246,Brotherhood of the Wolf,2001,R,142,7.0,57,Christophe Gans,62896,11260096
247,The Dead Zone,1983,R,103,7.2,69,David Cronenberg,62573,20766000
248,Red State,2011,R,88,6.2,50,Kevin Smith,62101,1104682
